XY_REDISHOST instead...
2022-05-13 11:41:07,027 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISKEEPCNT
2022-05-12 16:04:46,155 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISTIMEOUT
2022-05-12 16:04:46,155 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_REDISTIMEOUT instead...
2022-05-12 16:04:46,156 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISUSERTIMEOUT
2022-05-12 16:04:46,156 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_REDISUSERTIMEOUT instead...
2022-05-12 16:04:46,156 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_RESYNC_ENABLED
2022-05-12 16:04:46,156 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_RESYNC_ENABLED instead...
2022-05-12 16:04:46,156 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_RESYNC_INTERVAL
2022-05-12 16:04:46,156 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_RESYNC_INTERVAL instead...
2022-05-12 16:04:46,156 | ini_setup | INFO     | configure /opt/ericsson/alarm-proxy/etc/alarm-proxy.ini from /opt/ericsson/alarm-proxy/etc/alarm-proxy.ini
2022-05-12 16:04:46,156 | ini_setup | INFO     | [general]ready_file_path=/var/run/ericsson/alarm-proxy/ready
2022-05-12 16:04:46,156 | ini_setup | INFO     | [general]server_id=standalone
2022-05-12 16:04:46,156 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@localhost:5672/?heartbeat=30
2022-05-12 16:04:46,156 | ini_setup | INFO     | [proxy]maxRedisMissedMessage=1000
2022-05-12 16:04:46,156 | ini_setup | INFO     | [proxy]monitoringDelay=10
2022-05-12 16:04:46,156 | ini_setup | INFO     | [proxy]redisHost=127.0.0.1
2022-05-12 16:04:46,156 | ini_setup | INFO     | [proxy]redisKeepCnt=3
2022-05-12 16:04:46,156 | ini_setup | INFO     | [proxy]redisKeepIdle=10
2022-05-12 16:04:46,157 | ini_setup | INFO     | [proxy]redisKeepIntvl=10
2022-05-12 16:04:46,157 | ini_setup | INFO     | [proxy]redisPort=6380
2022-05-12 16:04:46,157 | ini_setup | INFO     | [proxy]redisReconnectionDelay=1
2022-05-12 16:04:46,157 | ini_setup | INFO     | [proxy]redisSocket=/var/opt/ericsson/alarm-proxy/ericsson-alarm-proxy.sock
2022-05-12 16:04:46,157 | ini_setup | INFO     | [proxy]redisTimeout=-1
2022-05-12 16:04:46,157 | ini_setup | INFO     | [proxy]redisUserTimeout=38
2022-05-12 16:04:46,157 | ini_setup | INFO     | [proxy]resync_enabled=True
2022-05-12 16:04:46,157 | ini_setup | INFO     | [proxy]resync_interval=30
2022-05-12 16:04:46,157 | ini_setup | INFO     | return code 0
2022-05-12 16:04:46,157 | ini_setup | INFO     | ---
2022-05-13 11:41:07,026 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_GENERAL_READY_FILE_PATH
2022-05-13 11:41:07,026 | ini_setup | WARNING  | we will search for ALARM_PROXY_GENERAL_READY_FILE_PATH instead...
2022-05-13 11:41:07,026 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_GENERAL_SERVER_ID
2022-05-13 11:41:07,026 | ini_setup | WARNING  | we will search for ALARM_PROXY_GENERAL_SERVER_ID instead...
2022-05-13 11:41:07,026 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_MESSAGING_SERVER_URL
2022-05-13 11:41:07,026 | ini_setup | WARNING  | we will search for ALARM_PROXY_MESSAGING_SERVER_URL instead...
2022-05-13 11:41:07,026 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_MAXREDISMISSEDMESSAGE
2022-05-13 11:41:07,026 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_MAXREDISMISSEDMESSAGE instead...
2022-05-13 11:41:07,026 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_MONITORINGDELAY
2022-05-13 11:41:07,026 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_MONITORINGDELAY instead...
2022-05-13 11:41:07,026 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISHOST
2022-05-13 11:41:07,027 | ini_setup | WARNING  | we will search for ALARM_PROXY_PRO08-08 00:32:00,782 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISRECONNECTIONDELAY
2023-08-08 00:32:00,782 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_REDISRECONNECTIONDELAY instead...
2023-08-08 00:32:00,783 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISSOCKET
2023-08-08 00:32:00,783 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_REDISSOCKET instead...
2023-08-08 00:32:00,783 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISTIMEOUT
2023-08-08 00:32:00,783 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_REDISTIMEOUT instead...
2023-08-08 00:32:00,783 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISUSERTIMEOUT
2023-08-08 00:32:00,783 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_REDISUSERTIMEOUT instead...
2023-08-08 00:32:00,783 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_RESYNC_ENABLED
2023-08-08 00:32:00,783 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_RESYNC_ENABLED instead...
2023-08-08 00:32:00,783 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_RESYNC_INTERVAL
2023-08-08 00:32:00,783 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_RESYNC_INTERVAL instead...
2023-08-08 00:32:00,784 | ini_setup | INFO     | configure /opt/ericsson/alarm-proxy/etc/alarm-proxy.ini from /opt/ericsson/alarm-proxy/etc/alarm-proxy.ini
2023-08-08 00:32:00,784 | ini_setup | INFO     | [general]ready_file_path=/var/run/ericsson/alarm-proxy/ready
2023-08-08 00:32:00,784 | ini_setup | INFO     | [general]server_id=standalone
2023-08-08 00:32:00,784 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@localhost:5672/?heartbeat=30
2023-08-08 00:32:00,784 | ini_setup | INFO     | [proxy]maxRedisMissedMessage=1000
2023-08-08 00:32:00,784 | ini_setup | INFO     | [proxy]monitoringDelay=10
2023-08-08 00:32:00,784 | ini_setup | INFO     | [proxy]redisHost=127.0.0.1
2023-08-08 00:32:00,784 | ini_setup | INFO     | [proxy]redisKeepCnt=3
2023-08-08 00:32:00,785 | ini_setup | INFO     | [proxy]redisKeepIdle=10
2023-08-08 00:32:00,785 | ini_setup | INFO     | [proxy]redisKeepIntvl=10
2023-08-08 00:32:00,785 | ini_setup | INFO     | [proxy]redisPort=6380
2023-08-08 00:32:00,785 | ini_setup | INFO     | [proxy]redisReconnectionDelay=1
2023-08-08 00:32:00,785 | ini_setup | INFO     | [proxy]redisSocket=/var/opt/ericsson/alarm-proxy/ericsson-alarm-proxy.sock
2023-08-08 00:32:00,785 | ini_setup | INFO     | [proxy]redisTimeout=-1
2023-08-08 00:32:00,785 | ini_setup | INFO     | [proxy]redisUserTimeout=38
2023-08-08 00:32:00,785 | ini_setup | INFO     | [proxy]resync_enabled=True
2023-08-08 00:32:00,785 | ini_setup | INFO     | [proxy]resync_interval=30
2023-08-08 00:32:00,785 | ini_setup | INFO     | return code 0
2023-08-08 00:32:00,785 | ini_setup | INFO     | ---
